Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
"Pearling, Testimony of an Island Economy",2012-01-01,,50.61351,26.24128,35086.81,Bahrain,Arab States,"26.24128,50.61351"
Joya de Cerén Archaeological Site,1993-01-01,,-89.36916667,13.8275,3200.0,El Salvador,Latin America and the Caribbean,"13.8275,-89.36916667"
Classical Weimar,1998-01-01,,11.32861,50.9775,0.0,Germany,Europe and North America,"50.9775,11.32861"
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,2015-01-01,,40.2393083333,37.9031,521.23,Turkey,Europe and North America,"37.9031,40.2393083333"
"Kiev: Saint-Sophia Cathedral and Related Monastic Buildings, Kiev-Pechersk Lavra",1990-01-01,,30.51686,50.45258,28.52,Ukraine,Europe and North America,"50.45258,30.51686"
Old town of Regensburg with Stadtamhof,2006-01-01,,12.09916667,49.02055556,182.8,Germany,Europe and North America,"49.02055556,12.09916667"
Cistercian Abbey of Fontenay,1981-01-01,,4.38911,47.63944,5.77,France,Europe and North America,"47.63944,4.38911"
Hiroshima Peace Memorial (Genbaku Dome),1996-01-01,,132.45,34.38333333,0.4,Japan,Asia and the Pacific,"34.38333333,132.45"
Chaco Culture,1987-01-01,,-107.9708333,36.06377778,0.0,United States of America,Europe and North America,"36.06377778,-107.9708333"
Cultural Landscape of the Serra de Tramuntana,2011-01-01,,2.6947222222000000,39.7308333333,30745.0,Spain,Europe and North America,"39.7308333333,2.6947222222"
Pont du Gard (Roman Aqueduct),1985-01-01,,4.535277778,43.94722222,0.3257,France,Europe and North America,"43.94722222,4.535277778"
City of Potosí,1987-01-01,Y 2014,-65.75306,-19.58361,0.0,Bolivia (Plurinational State of),Latin America and the Caribbean,"-19.58361,-65.75306"
Lushan National Park,1996-01-01,,115.8666667,29.43333333,0.0,China,Asia and the Pacific,"29.43333333,115.8666667"
Imperial Tombs of the Ming and Qing Dynasties,2000-01-01,,124.7938889,41.70722222,3434.9399,China,Asia and the Pacific,"41.70722222,124.7938889"
Chief Roi Mata’s Domain,2008-01-01,,168.177719444,-17.6280694444,886.31,Vanuatu,Asia and the Pacific,"-17.6280694444,168.177719444"
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,1993-01-01,,-6.45,53.69167,770.0,Ireland,Europe and North America,"53.69167,-6.45"
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",1988-01-01,,1.0833333330000000,51.28,18.17,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.28,1.083333333"
Gyeongju Historic Areas,2000-01-01,,129.22667,35.78889,2880.0,Republic of Korea,Asia and the Pacific,"35.78889,129.22667"
Lednice-Valtice Cultural Landscape,1996-01-01,,16.775,48.77583,14320.0,Czech Republic,Europe and North America,"48.77583,16.775"
Churches of Chiloé,2000-01-01,,-73.76666667,-42.5,0.0,Chile,Latin America and the Caribbean,"-42.5,-73.76666667"
"El Tajin, Pre-Hispanic City",1992-01-01,,-97.3775,20.47639,240.0,Mexico,Latin America and the Caribbean,"20.47639,-97.3775"
Medici Villas and Gardens in Tuscany,2013-01-01,,11.3041666667,43.8577777778,125.4,Italy,Europe and North America,"43.8577777778,11.3041666667"
Archaeological Ruins at Moenjodaro,1980-01-01,,68.13888889,27.32916667,240.0,Pakistan,Asia and the Pacific,"27.32916667,68.13888889"
Historic Centre of Český Krumlov,1992-01-01,,14.31666667,48.816666670000000,51.91,Czech Republic,Europe and North America,"48.81666667,14.31666667"
Delos,1990-01-01,,25.26667,37.4,350.64,Greece,Europe and North America,"37.4,25.26667"
Taos Pueblo,1992-01-01,,-105.54167,36.43889,19.01,United States of America,Europe and North America,"36.43889,-105.54167"
Historic Centre of Camagüey,2008-01-01,,-77.9186111111,21.3786111111,54.0,Cuba,Latin America and the Caribbean,"21.3786111111,-77.9186111111"
Natural and Culturo-Historical Region of Kotor,1979-01-01,P 1979-2003,18.7,42.48333,14600.0,Montenegro,Europe and North America,"42.48333,18.7"
