Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
Prehistoric Pile dwellings around the Alps,2011-01-01,,8.2075,47.2783333333,274.2,"Austria,France,Germany,Italy,Slovenia,Switzerland",Europe and North America,"47.2783333333,8.2075"
Soltaniyeh,2005-01-01,,48.79667,36.43528,790.14,Iran (Islamic Republic of),Asia and the Pacific,"36.43528,48.79667"
Cave of Altamira and Paleolithic Cave Art of Northern Spain,1985-01-01,,-4.116166667,43.38252778,0.0,Spain,Europe and North America,"43.38252778,-4.116166667"
"Fasil Ghebbi, Gondar Region",1979-01-01,,37.46617,12.60692,0.0,Ethiopia,Africa,"12.60692,37.46617"
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",2016-01-01,,6.8293361111,46.4684138889,98.4838,"Argentina,Belgium,France,Germany,India,Japan,Switzerland",Latin America and the Caribbean,"46.4684138889,6.8293361111"
Tower of Hercules,2009-01-01,,-8.4063888889,43.3858333333,233.0,Spain,Europe and North America,"43.3858333333,-8.4063888889"
Historic Centre of Santa Ana de los Ríos de Cuenca,1999-01-01,,-78.98333333,-2.883333333,224.14,Ecuador,Latin America and the Caribbean,"-2.883333333,-78.98333333"
Masada,2001-01-01,,35.35275,31.3135,276.0,Israel,Europe and North America,"31.3135,35.35275"
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,1980-01-01,,71.94583333,34.32083333,0.0,Pakistan,Asia and the Pacific,"34.32083333,71.94583333"
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,2004-01-01,,135.7763889,33.83694444,495.3,Japan,Asia and the Pacific,"33.83694444,135.7763889"
Red Fort Complex,2007-01-01,,77.2408333333,28.6555555556,49.1815,India,Asia and the Pacific,"28.6555555556,77.2408333333"
Saint Catherine Area,2002-01-01,,33.97543,28.55623,60100.0,Egypt,Arab States,"28.55623,33.97543"
Boyana Church,1979-01-01,,23.26666667,42.65,0.68,Bulgaria,Europe and North America,"42.65,23.26666667"
Ancient City of Sigiriya,1982-01-01,,80.75,7.95,0.0,"Sri Lanka,Sri Lanka",Asia and the Pacific,"7.95,80.75"
Al Qal'a of Beni Hammad,1980-01-01,,4.78684,35.81844,150.0,Algeria,Arab States,"35.81844,4.78684"
Rock Art of Alta,1985-01-01,,23.18333,69.95,0.0,Norway,Europe and North America,"69.95,23.18333"
Amphitheatre of El Jem,1979-01-01,,10.70694,35.29639,1.37,Tunisia,Arab States,"35.29639,10.70694"
Stećci Medieval Tombstones Graveyards,2016-01-01,,17.9240527778,43.0922138889,49.15,"Bosnia and Herzegovina,Croatia,Serbia,Montenegro",Europe and North America,"43.0922138889,17.9240527778"
Blenheim Palace,1987-01-01,,-1.361388889,51.84194444,0.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"51.84194444,-1.361388889"
Mont-Saint-Michel and its Bay,1979-01-01,,-1.51056,48.63556,6560.0,France,Europe and North America,"48.63556,-1.51056"
